line_name,description,total_boarding,total_hour_cap,tm2_mode,line_mode,headway,fare_system
15__173_AM_d1_s442,San Ramon/BART Dublin,0,47.25,42,o,80.0,15
15__174_AM_d0_s443,Broadway Plaza/BART Walnut Creek,0,145.3846153846154,42,v,26.0,17
15__174_AM_d1_s444,Broadway Plaza/BART Walnut Creek,0,111.17647058823529,42,v,34.0,17
15__175_AM_d0_s445,Creekside/BART Walnut Creek,0,157.5,42,v,24.0,17
15__175_AM_d1_s446,Creekside/BART Walnut Creek,0,157.5,42,v,24.0,17
15__176_AM_d0_s447,Lafayette/Moraga/Orinda,0,63.0,42,o,60.0,15
15__176_AM_d1_s448,Lafayette/Moraga/Orinda,0,94.5,42,o,40.0,15
15__177_AM_d0_s449,BART Concord/BART Pleasant Hi,0,78.75,42,o,48.0,15
15__177_AM_d1_s450,BART Concord/BART Pleasant Hi,0,78.75,42,o,48.0,15
15__178_AM_d0_s451,Shadelands/BART PH,0,210.0,42,v,18.0,17
15__178_AM_d1_s452,Shadelands/BART PH,0,189.0,42,v,20.0,17
15__179_AM_d0_s453,DVC/BART Walnut Creek,0,63.0,42,o,60.0,15
15__179_AM_d1_s454,DVC/BART Walnut Creek,0,63.0,42,o,60.0,15
15__180_AM_d0_s455,Concord Commuter Express,0,78.75,86,x,48.0,16
15__181_AM_d0_s456,ACE Express,0,31.5,86,x,120.0,16
15__181_AM_d1_s457,ACE Express,0,47.25,86,x,80.0,16
15__182_AM_d1_s459,Kirker Pass Express,0,31.5,86,x,120.0,16
15__183_AM_d0_s460,San Ramon/BART Walnut Creek,0,63.0,86,x,60.0,16
15__183_AM_d1_s461,San Ramon/BART Walnut Creek,0,47.25,86,x,80.0,16
15__184_AM_d0_s462,BART Walnut Creek/Bishop Ranch,0,210.0,86,x,18.0,16
15__184_AM_d1_s463,BART Walnut Creek/Bishop Ranch,0,236.25,86,x,16.0,16
15__185_AM_d0_s464,BART Dublin/Bishop Ranch,0,94.5,86,x,40.0,16
15__185_AM_d1_s465,BART Dublin/Bishop Ranch,0,94.5,86,x,40.0,16
15__186_AM_d0_s466,Martinez/BART Walnut Creek,1.129460096359253,78.75,86,x,48.0,16
15__186_AM_d1_s467,Martinez/BART Walnut Creek,0,78.75,86,x,48.0,16
15__187_AM_d0_s468,Monument Blvd,0,94.5,42,o,40.0,15
15__187_AM_d1_s469,Monument Blvd,0,94.5,42,o,40.0,15
15__188_AM_d0_s470,Treat Blvd,0,47.25,42,o,80.0,15
15__188_AM_d1_s471,Treat Blvd,0,78.75,42,o,48.0,15
15__189_AM_d0_s472,AMTRAK/BART Concord,0,94.5,42,o,40.0,15
15__189_AM_d1_s473,AMTRAK/BART Concord,0,94.5,42,o,40.0,15
15__190_AM_d0_s474,BART Concord/North Concord,0,94.5,42,o,40.0,15
15__190_AM_d1_s475,BART Concord/North Concord,0,78.75,42,o,48.0,15
15__191_AM_d0_s476,AMTRAK/BART Pleasant Hill,0,47.25,42,o,80.0,15
